Q84#4_2,Q84#4_3,Q84#4_1,Q84#4_4,Q84#6_4,Q84#6_1,Q84#6_2,Q84#6_3,Q84#2_1,Q84#2_2,Q84#2_3,Q84#2_4,Q84#3_1,Q84#3_3,Q84#3_2,Q84#3_4,Q84#5_2,Q84#5_1,Q84#5_4,Q84#1_4,Q84#1_3,Q84#1_2,Q84#1_1,Q84#5_3
Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable
Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable
Comfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Uncomfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Comfortable,Comfortable,Neutral
Neutral,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Comfortable
Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Neutral,Uncomfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable
Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral
Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Very Comfortable
Neutral,Uncomfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Neutral,Comfortable,Uncomfortable
Comfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Very Uncomfortable,Comfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Comfortable,Very Uncomfortable
Very Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable
Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable
Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Neutral,Uncomfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable
Comfortable,Neutral,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Comfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Very Comfortable,Neutral
Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
Neutral,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Neutral,Uncomfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Neutral
Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Comfortable,Neutral,Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Neutral,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable
Very Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral
Neutral,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Uncomfortable,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable
Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Comfortable,Comfortable,Very Comfortable,Comfortable
Comfortable,Uncomfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Neutral,Very Comfortable,Uncomfortable,Very Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable
Comfortable,Comfortable,Comfortable,Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Comfortable
Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Neutral,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable
Neutral,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable
Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral
Neutral,Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Comfortable,Neutral,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Comfortable,Neutral,Neutral,Comfortable,Very Comfortable,Comfortable
Neutral,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Comfortable
Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable
Comfortable,Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Very Comfortable,Very Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Very Comfortable
Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Very Comfortable,Neutral
Neutral,Uncomfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Neutral,Very Comfortable,Uncomfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Uncomfortable,Neutral,Very Comfortable,Uncomfortable
Very Comfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral,Very Comfortable,Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Uncomfortable
Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Very Comfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Comfortable
Comfortable,Uncomfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Uncomfortable,Comfortable,Comfortable,Uncomfortable
Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable
Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable
Neutral,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Neutral,Very Uncomfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Neutral,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Comfortable,Very Uncomfortable
Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Comfortable,Very Comfortable
Neutral,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Very Uncomfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,Neutral,Neutral,Very Comfortable,Very Comfortable
Comfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Neutral,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Comfortable,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Comfortable,Neutral,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Uncomfortable,Comfortable,Uncomfortable,Very Comfortable,Neutral
Comfortable,Comfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Very Comfortable,Uncomfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable
Neutral,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Neutral,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Neutral,Very Comfortable,Uncomfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable
Very Uncomfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Uncomfortable,Uncomfortable,Very Comfortable,Very Uncomfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Comfortable,Comfortable,Comfortable,Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable
Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Very Comfortable,Neutral,Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
Uncomfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Uncomfortable,Comfortable,Neutral,Comfortable,Comfortable,Uncomfortable,Neutral,Neutral,Comfortable,Neutral,Uncomfortable
Very Comfortable,Neutral,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Very Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Uncomfortable,Neutral,Comfortable,Very Comfortable,Very Comfortable,Neutral
Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Neutral,Comfortable,Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Neutral,Very Uncomfortable
Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral
Comfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Uncomfortable,Comfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Comfortable,Comfortable,Uncomfortable
Neutral,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Uncomfortable,Very Uncomfortable,Uncomfortable,Very Comfortable,Neutral
Neutral,Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral,Uncomfortable,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Uncomfortable,Neutral,Neutral,Uncomfortable
Neutral,Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Comfortable
Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable
Very Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral
Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable
Neutral,Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Uncomfortable,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Neutral,Neutral,Neutral,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Neutral,Very Comfortable,Uncomfortable
Comfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Very Uncomfortable,Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Comfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Very Uncomfortable
Very Comfortable,Very Uncomfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Very Uncomfortable,Very Comfortable,Very Comfortable,Very Uncomfortable,Neutral,Very Comfortable,Uncomfortable,Very Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Very Uncomfortable,Comfortable,Comfortable,Very Uncomfortable
Comfortable,Uncomfortable,Neutral,Neutral,Comfortable,Comfortable,Very Comfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Uncomfortable,Very Comfortable,Comfortable,Uncomfortable
Very Comfortable,Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Very Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Comfortable,Very Comfortable,Very Comfortable,Comfortable
Neutral,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable
Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
Very Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable
Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable
Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral
Very Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Comfortable,Very Comfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral
Neutral,Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Neutral,Uncomfortable,Neutral,Neutral,Uncomfortable,Very Uncomfortable,Uncomfortable,Neutral,Neutral,Uncomfortable
Very Uncomfortable,Neutral,Neutral,Comfortable,Very Comfortable,Very Comfortable,Very Uncomfortable,Very Comfortable,Neutral,Very Uncomfortable,Neutral,Uncomfortable,Very Comfortable,Very Comfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Neutral,Neutral,Uncomfortable,Comfortable,Very Uncomfortable,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable
Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Very Comfortable,Neutral
Very Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Very Comfortable,Neutral,Very Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Very Comfortable,Very Comfortable,Neutral
Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Uncomfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Very Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral
Neutral,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Neutral,Very Uncomfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Uncomfortable,Neutral,Uncomfortable,Comfortable,Very Comfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Comfortable
